Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
36,2830.0000,4490.0000,2548.0000,4748.0000,3676.8000,359.8297,2830.0000,3389.0000,3690.0000,3929.0000,4490.0000,0.7682,0.1021,0.6964,0.6964,0.6964,0.8179,1.0000,109.2200,186491.7289,0.0586,true
37,2894.0000,4506.0000,2548.0000,4748.0000,3776.6800,348.9804,2894.0000,3545.5000,3802.0000,4036.5000,4506.0000,0.7633,0.1070,0.6894,0.6894,0.6894,0.8097,1.0000,-99.8800,-158932.4728,0.0628,true
38,2904.0000,4616.0000,2548.0000,4748.0000,3669.4600,367.1913,2904.0000,3421.5000,3651.0000,3907.5000,4616.0000,0.7572,0.1093,0.6826,0.6826,0.6826,0.8016,1.0000,107.2200,181139.0371,0.0592,true
39,2866.0000,4794.0000,2548.0000,4794.0000,3715.5000,387.5084,2866.0000,3428.5000,3707.0000,3983.5000,4794.0000,0.7508,0.1107,0.6757,0.6757,0.6757,0.7936,1.0000,-46.0400,-77605.0973,0.0593,true
40,2830.0000,4378.0000,2548.0000,4794.0000,3676.8800,323.7420,2830.0000,3482.5000,3690.0000,3878.5000,4378.0000,0.7444,0.1121,0.6690,0.6690,0.6690,0.7857,1.0000,38.6200,66357.0463,0.0582,true
41,2808.0000,4580.0000,2548.0000,4794.0000,3720.9000,357.4190,2808.0000,3461.5000,3740.0000,3907.5000,4580.0000,0.7380,0.1135,0.6623,0.6623,0.6623,0.7778,1.0000,-44.0200,-74551.6654,0.0590,true
42,2770.0000,4680.0000,2548.0000,4794.0000,3757.0400,416.6535,2770.0000,3483.0000,3802.0000,4058.5000,4680.0000,0.7318,0.1150,0.6557,0.6557,0.6557,0.7700,1.0000,-36.1400,-60907.5802,0.0593,true
43,2814.0000,4568.0000,2548.0000,4794.0000,3740.3200,382.3449,2814.0000,3475.0000,3756.0000,4026.5000,4568.0000,0.7256,0.1164,0.6491,0.6491,0.6491,0.7623,1.0000,16.7200,28291.1758,0.0591,true
44,3008.0000,4480.0000,2548.0000,4794.0000,3758.3800,349.9385,3008.0000,3512.0000,3784.0000,4019.5000,4480.0000,0.7194,0.1179,0.6426,0.6426,0.6426,0.7547,1.0000,-18.0600,-31304.2755,0.0577,true
45,2998.0000,4388.0000,2548.0000,4794.0000,3688.0400,304.2880,2998.0000,3458.5000,3698.0000,3924.5000,4388.0000,0.7133,0.1194,0.6362,0.6362,0.6362,0.7472,1.0000,70.3400,110517.0293,0.0636,true
46,2750.0000,4416.0000,2548.0000,4794.0000,3708.1400,343.8676,2750.0000,3515.0000,3737.0000,3943.5000,4416.0000,0.7073,0.1209,0.6298,0.6298,0.6298,0.7397,1.0000,-20.1000,-34212.7077,0.0588,true
47,2910.0000,4424.0000,2548.0000,4794.0000,3731.7600,341.5211,2910.0000,3478.5000,3736.0000,3987.0000,4424.0000,0.7013,0.1223,0.6235,0.6235,0.6235,0.7323,1.0000,-23.6200,-39166.5257,0.0603,true
48,2862.0000,4546.0000,2548.0000,4794.0000,3726.1400,318.3037,2862.0000,3571.5000,3712.0000,3917.0000,4546.0000,0.6954,0.1238,0.6173,0.6173,0.6173,0.7250,1.0000,5.6200,9649.1620,0.0582,true
49,2802.0000,4604.0000,2548.0000,4794.0000,3691.0600,313.7301,2802.0000,3506.5000,3682.0000,3895.0000,4604.0000,0.6896,0.1254,0.6111,0.6111,0.6111,0.7177,1.0000,35.0800,60147.1788,0.0583,true
50,2924.0000,4546.0000,2548.0000,4794.0000,3744.6000,390.2067,2924.0000,3475.0000,3759.0000,4016.5000,4546.0000,0.6838,0.1269,0.6050,0.6050,0.6050,0.7106,1.0000,-53.5400,-91865.5887,0.0583,true
51,2988.0000,4552.0000,2548.0000,4794.0000,3737.3000,354.7098,2988.0000,3494.0000,3707.0000,3930.5000,4552.0000,0.6781,0.1284,0.5990,0.5990,0.5990,0.7034,1.0000,7.3000,12800.5499,0.0570,true
52,2666.0000,4726.0000,2548.0000,4794.0000,3673.5800,376.9875,2666.0000,3408.0000,3655.0000,3925.5000,4726.0000,0.6724,0.1299,0.5930,0.5930,0.5930,0.6964,1.0000,63.7200,106647.0288,0.0597,true
53,2684.0000,4570.0000,2548.0000,4794.0000,3701.2600,405.3857,2684.0000,3446.5000,3741.0000,3996.0000,4570.0000,0.6668,0.1314,0.5870,0.5870,0.5870,0.6894,1.0000,-27.6800,-43800.4484,0.0632,true
54,2760.0000,4532.0000,2548.0000,4794.0000,3696.1400,365.9698,2760.0000,3443.5000,3689.0000,3979.0000,4532.0000,0.6613,0.1329,0.5812,0.5812,0.5812,0.6826,1.0000,5.1200,8734.4588,0.0586,true
55,2710.0000,4558.0000,2548.0000,4794.0000,3739.1600,379.6331,2710.0000,3471.5000,3808.0000,4022.0000,4558.0000,0.6557,0.1344,0.5754,0.5754,0.5754,0.6757,1.0000,-43.0200,-73403.3241,0.0586,true
56,2832.0000,4636.0000,2548.0000,4794.0000,3769.7200,360.6984,2832.0000,3515.0000,3771.0000,4028.0000,4636.0000,0.6503,0.1359,0.5696,0.5696,0.5696,0.6690,1.0000,-30.5600,-51551.0872,0.0593,true
57,3134.0000,4438.0000,2548.0000,4794.0000,3719.3600,340.9427,3134.0000,3453.5000,3705.0000,3953.5000,4438.0000,0.6449,0.1374,0.5639,0.5639,0.5639,0.6623,1.0000,50.3600,86207.3393,0.0584,true
58,2888.0000,4458.0000,2548.0000,4794.0000,3712.1200,369.9578,2888.0000,3491.0000,3714.0000,3922.0000,4458.0000,0.6396,0.1389,0.5583,0.5583,0.5583,0.6557,1.0000,7.2400,12622.1023,0.0574,true
59,2666.0000,4568.0000,2548.0000,4794.0000,3715.8600,363.6488,2666.0000,3501.0000,3747.0000,3951.0000,4568.0000,0.6343,0.1404,0.5527,0.5527,0.5527,0.6491,1.0000,-3.7400,-6310.2660,0.0593,true
60,2814.0000,4778.0000,2548.0000,4794.0000,3764.6400,362.4388,2814.0000,3503.5000,3793.0000,4039.0000,4778.0000,0.6291,0.1419,0.5472,0.5472,0.5472,0.6426,1.0000,-48.7800,-82786.0089,0.0589,true
61,2840.0000,4774.0000,2548.0000,4794.0000,3749.9200,392.6530,2840.0000,3502.5000,3730.0000,3981.5000,4774.0000,0.6239,0.1434,0.5417,0.5417,0.5417,0.6362,1.0000,14.7200,23905.6506,0.0616,true
